audit_id,image_path,question,human_answer,parseable_yes_no,reviewer_id,notes
generated-014,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-008-42f0322058903e8a8799-20260828-0.png,How many squares are in the image? Answer with one number.,2,yes,xiyao_wang,
generated-015,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-008-d8cd8b67bef535308031-20260828-0.png,Is there a red triangle in the image? Answer yes or no.,yes,yes,xiyao_wang,
generated-016,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-006-eadea6f9aacd646f0eb7-20260828-0.png,Is there a red square in the image? Answer yes or no.,yes,yes,xiyao_wang,
generated-017,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-001-4d04f1b5d3107297a674-20260828-0.png,What color is the circle? Answer with one color word.,yellow,yes,xiyao_wang,
generated-018,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-006-af72f81e3032f941f90d-20260828-0.png,What color is the triangle? Answer with one color word.,red,yes,xiyao_wang,
generated-019,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-000-424822e9d9d6a00f705e-20260828-0.png,What color is the triangle? Answer with one color word.,yellow,yes,xiyao_wang,
generated-020,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-003-7c903ea95056b82308e3-20260828-0.png,What color is the square? Answer with one color word.,red,yes,xiyao_wang,
generated-021,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-004-128410030422d8d64796-20260828-0.png,Is there a red circle in the image? Answer yes or no.,yes,yes,xiyao_wang,
generated-022,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-009-65bd7ee64b97b8623704-20260828-0.png,How many squares are in the image? Answer with one number.,0,yes,xiyao_wang,
generated-023,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-003-c633c7c7e3b402734814-20260828-0.png,How many triangles are in the image? Answer with one number.,3,yes,xiyao_wang,
generated-024,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-000-f7165e29c937b08c0013-20260828-0.png,What color is the triangle? Answer with one color word.,green,yes,xiyao_wang,
generated-025,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-009-02279ce2f9825dadc918-20260828-0.png,What color is the square? Answer with one color word.,abstain,no,xiyao_wang,
generated-026,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-008-ff328541439d00ae1fab-20260828-0.png,Is the square above the circle? Answer yes or no.,yes,yes,xiyao_wang,
generated-027,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-005-128410030422d8d64796-20260828-0.png,Is there a blue square in the image? Answer yes or no.,no,yes,xiyao_wang,
generated-028,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-002-e1810dda1d5e255b84a3-20260828-0.png,What color is the square? Answer with one color word.,yellow,yes,xiyao_wang,
generated-029,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-006-72d5936f01284efe523e-20260828-0.png,How many circles are in the image? Answer with one number.,6,yes,xiyao_wang,
generated-030,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-003-0c73f7a97571b0633ad3-20260828-0.png,Is there a red circle in the image? Answer yes or no.,no,yes,xiyao_wang,
generated-031,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-000-d9b6ca5210a573c16ed8-20260828-0.png,How many triangles are in the image? Answer with one number.,2,yes,xiyao_wang,
generated-032,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-007-96230eabb66c71c45b82-20260828-0.png,What color is the triangle? Answer with one color word.,green,yes,xiyao_wang,
generated-033,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-007-5da5854dfdff00e70709-20260828-0.png,Is the triangle above the circle? Answer yes or no.,no,yes,xiyao_wang,
generated-034,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-006-c66687740d74b0b26348-20260828-0.png,What color is the triangle? Answer with one color word.,red,yes,xiyao_wang,
generated-035,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-008-5b2dca1b42208682b968-20260828-0.png,What color is the square? Answer with one color word.,abstain,no,xiyao_wang,
generated-036,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-009-eee8dead25636a938809-20260828-0.png,Is the square above the triangle? Answer yes or no.,no,yes,xiyao_wang,
generated-037,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-005-501a73f5c8f145367ff3-20260828-0.png,How many circles are in the image? Answer with one number.,3,yes,xiyao_wang,
generated-038,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-006-8409152eb3ccd4769e67-20260828-0.png,Is the triangle above the circle? Answer yes or no.,no,yes,xiyao_wang,
generated-039,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-002-0c73f7a97571b0633ad3-20260828-0.png,Is there a yellow triangle in the image? Answer yes or no.,yes,yes,xiyao_wang,
generated-040,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-001-9fe129ace2ac5f62dbd4-20260828-0.png,What color is the triangle? Answer with one color word.,red,yes,xiyao_wang,
generated-041,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-005-d1a21fd86322fa45b291-20260828-0.png,What color is the square? Answer with one color word.,red,yes,xiyao_wang,
generated-042,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-size-009-9d5d0ff51147a0a39094-20260828-0.png,Is the triangle small or large? Answer with one word.,large,yes,xiyao_wang,
generated-043,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-007-eadea6f9aacd646f0eb7-20260828-0.png,Is there a blue triangle in the image? Answer yes or no.,no,yes,xiyao_wang,
generated-044,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-001-37de4e108da1a9213fe8-20260828-0.png,Is the triangle to the left of the circle? Answer yes or no.,no,yes,xiyao_wang,
generated-045,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-000-2a01476a82c6d86e810d-20260828-0.png,Is there a yellow square in the image? Answer yes or no.,yes,yes,xiyao_wang,
generated-046,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-008-4d6fce15d063dec478f9-20260828-0.png,What color is the square? Answer with one color word.,blue,yes,xiyao_wang,
generated-047,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-004-b1a9d21e0d00ffacc27b-20260828-0.png,What color is the circle? Answer with one color word.,red,yes,xiyao_wang,
generated-048,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-002-94604a09d91e0593ca23-20260828-0.png,How many triangles are in the image? Answer with one number.,1,yes,xiyao_wang,
generated-049,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-004-02a92c3efad1db8d4f48-20260828-0.png,How many circles are in the image? Answer with one number.,8,yes,xiyao_wang,
